experiment_dir,augment,generator,rbf_components,rbf_gamma,svm_C,roc_auc,pr_auc,f1_macro,f1_weighted,augment_total_s,train_s,inference_s
nsl_kdd_aug_smote-adv_gen_borderline_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,smote-adv,borderline,300,0.010188371224784904,1.0,0.9966056251030359,0.9965977479837529,0.9747884780391505,0.974821062547061,7.306865215301514,5.502143621444702,0.0949857234954834
nsl_kdd_aug_adasyn_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,adasyn,,300,0.010188371224784904,1.0,0.9967461984044876,0.996597027758226,0.9737807408080679,0.9738127008558524,8.314789056777954,5.769702196121216,0.11399650573730469
nsl_kdd_aug_smote_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,smote,,300,0.010188371224784904,1.0,0.9963644522735232,0.99656518106696,0.9772056611527775,0.9772399738905841,7.281914710998535,5.7837607860565186,0.08961772918701172
nsl_kdd_aug_smote-adv_gen_smote-tomek_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,smote-adv,smote-tomek,300,0.010188371224784904,1.0,0.9963758564891686,0.9965644978072726,0.9771735851414827,0.9772071652315719,21.945310831069946,12.030462980270386,0.14424586296081543
nsl_kdd_aug_smote-adv_gen_smote_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,smote-adv,smote,300,0.010188371224784904,1.0,0.9963672533885922,0.9965574420515189,0.977306880643202,0.9773410122589264,5.679924964904785,5.542236804962158,0.11818552017211914
nsl_kdd_aug_smote-adv_gen_smote-enn_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,smote-adv,smote-enn,300,0.010188371224784904,1.0,0.9963733413874697,0.9965463495985492,0.9771055450958057,0.9771395153763897,38.080310106277466,10.031953573226929,0.2875185012817383
nsl_kdd_aug_smote-tomek_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,smote-tomek,,300,0.010188371224784904,1.0,0.996315521287764,0.9965404909188545,0.9775436984832748,0.977577104004997,13.397371053695679,5.855333089828491,0.1070258617401123
nsl_kdd_aug_none_rff_300_gamma_-1.0_svmC_1.0_test_20_seed_42,none,,300,0.010188371224784904,1.0,0.9963623866214061,0.9965297202717535,0.9772407787993411,0.9772743753935081,,8.730201959609985,0.19987940788269043
nsl_kdd_aug_borderline-smote_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,borderline-smote,,300,0.010188371224784904,1.0,0.9966169929995232,0.9963942348287618,0.9738833610091586,0.9739143024709707,19.60075306892395,8.46269702911377,0.09106040000915527
nsl_kdd_aug_smote-adv_gen_svm_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,smote-adv,svm,300,0.010188371224784904,1.0,0.996586861717979,0.996168913312921,0.9752600068260195,0.9752921699975848,308.8854806423187,12.421950817108154,0.263094425201416
nsl_kdd_aug_svm-smote_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,svm-smote,,300,0.010188371224784904,1.0,0.9967226091112973,0.9960445472998376,0.9762103177300543,0.9762374473107973,200.57619881629944,9.057267427444458,0.1646251678466797
nsl_kdd_aug_smote-enn_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,smote-enn,,300,0.010188371224784904,1.0,0.9954417186628759,0.9958252331866704,0.9791657326069176,0.979194982880013,13.359452486038208,5.702158212661743,0.09863996505737305
